date,location,race,counts
1969-10-29,Keswick to ACID Dam,Fall,0
1969-10-29,ACID Dam to Highway 44 Bridge,Fall,73
1969-10-29,Highway 44 Bridge to Airport Road Bridge,Fall,423
1969-10-29,Airport Road Bridge to Balls Ferry Bridge,Fall,185
1969-10-29,Balls Ferry Bridge to Battle Creek,Fall,121
1969-10-29,Battle Creek to Jellys Ferry Bridge,Fall,51
1969-10-29,Jellys Ferry Bridge to Bend Bridge,Fall,61
1969-10-29,Bend Bridge to Red Bluff Diversion Dam,Fall,6
1969-10-29,Red Bluff Diversion Dam to Tehama Bridge,Fall,272
1969-10-29,Tehama Bridge To Woodson Bridge,Fall,45
1969-10-29,Woodson Bridge to Hamilton City Bridge,Fall,NA
1969-10-29,Hamilton City Bridge to Ord Ferry Bridge,Fall,NA
1969-10-29,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1970-10-26,Keswick to ACID Dam,Fall,8
1970-10-26,ACID Dam to Highway 44 Bridge,Fall,55
1970-10-26,Highway 44 Bridge to Airport Road Bridge,Fall,92
1970-10-26,Airport Road Bridge to Balls Ferry Bridge,Fall,190
1970-10-26,Balls Ferry Bridge to Battle Creek,Fall,68
1970-10-26,Battle Creek to Jellys Ferry Bridge,Fall,79
1970-10-26,Jellys Ferry Bridge to Bend Bridge,Fall,80
1970-10-26,Bend Bridge to Red Bluff Diversion Dam,Fall,8
1970-10-26,Red Bluff Diversion Dam to Tehama Bridge,Fall,116
1970-10-26,Tehama Bridge To Woodson Bridge,Fall,3
1970-10-26,Woodson Bridge to Hamilton City Bridge,Fall,NA
1970-10-26,Hamilton City Bridge to Ord Ferry Bridge,Fall,NA
1970-10-26,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1970-11-12,Keswick to ACID Dam,Fall,22
1970-11-12,ACID Dam to Highway 44 Bridge,Fall,84
1970-11-12,Highway 44 Bridge to Airport Road Bridge,Fall,204
1970-11-12,Airport Road Bridge to Balls Ferry Bridge,Fall,158
1970-11-12,Balls Ferry Bridge to Battle Creek,Fall,13
1970-11-12,Battle Creek to Jellys Ferry Bridge,Fall,0
1970-11-12,Jellys Ferry Bridge to Bend Bridge,Fall,25
1970-11-12,Bend Bridge to Red Bluff Diversion Dam,Fall,0
1970-11-12,Red Bluff Diversion Dam to Tehama Bridge,Fall,59
1970-11-12,Tehama Bridge To Woodson Bridge,Fall,4
1970-11-12,Woodson Bridge to Hamilton City Bridge,Fall,NA
1970-11-12,Hamilton City Bridge to Ord Ferry Bridge,Fall,NA
1970-11-12,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1971-11-07,Keswick to ACID Dam,Fall,0
1971-11-07,ACID Dam to Highway 44 Bridge,Fall,60
1971-11-07,Highway 44 Bridge to Airport Road Bridge,Fall,119
1971-11-07,Airport Road Bridge to Balls Ferry Bridge,Fall,118
1971-11-07,Balls Ferry Bridge to Battle Creek,Fall,58
1971-11-07,Battle Creek to Jellys Ferry Bridge,Fall,74
1971-11-07,Jellys Ferry Bridge to Bend Bridge,Fall,79
1971-11-07,Bend Bridge to Red Bluff Diversion Dam,Fall,10
1971-11-07,Red Bluff Diversion Dam to Tehama Bridge,Fall,209
1971-11-07,Tehama Bridge To Woodson Bridge,Fall,26
1971-11-07,Woodson Bridge to Hamilton City Bridge,Fall,NA
1971-11-07,Hamilton City Bridge to Ord Ferry Bridge,Fall,NA
1971-11-07,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1971-11-17,Keswick to ACID Dam,Fall,6
1971-11-17,ACID Dam to Highway 44 Bridge,Fall,30
1971-11-17,Highway 44 Bridge to Airport Road Bridge,Fall,52
1971-11-17,Airport Road Bridge to Balls Ferry Bridge,Fall,83
1971-11-17,Balls Ferry Bridge to Battle Creek,Fall,45
1971-11-17,Battle Creek to Jellys Ferry Bridge,Fall,42
1971-11-17,Jellys Ferry Bridge to Bend Bridge,Fall,85
1971-11-17,Bend Bridge to Red Bluff Diversion Dam,Fall,7
1971-11-17,Red Bluff Diversion Dam to Tehama Bridge,Fall,163
1971-11-17,Tehama Bridge To Woodson Bridge,Fall,2
1971-11-17,Woodson Bridge to Hamilton City Bridge,Fall,NA
1971-11-17,Hamilton City Bridge to Ord Ferry Bridge,Fall,NA
1971-11-17,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1971-12-13,Keswick to ACID Dam,Late-Fall,43
1971-12-13,ACID Dam to Highway 44 Bridge,Late-Fall,20
1971-12-13,Highway 44 Bridge to Airport Road Bridge,Late-Fall,52
1971-12-13,Airport Road Bridge to Balls Ferry Bridge,Late-Fall,64
1971-12-13,Balls Ferry Bridge to Battle Creek,Late-Fall,3
1971-12-13,Battle Creek to Jellys Ferry Bridge,Late-Fall,0
1971-12-13,Jellys Ferry Bridge to Bend Bridge,Late-Fall,0
1971-12-13,Bend Bridge to Red Bluff Diversion Dam,Late-Fall,15
1971-12-13,Red Bluff Diversion Dam to Tehama Bridge,Late-Fall,62
1971-12-13,Tehama Bridge To Woodson Bridge,Late-Fall,34
1971-12-13,Woodson Bridge to Hamilton City Bridge,Late-Fall,NA
1971-12-13,Hamilton City Bridge to Ord Ferry Bridge,Late-Fall,NA
1971-12-13,Ord Ferry Bridge To Princeton Ferry,Late-Fall,NA
1972-10-31,Keswick to ACID Dam,Fall,0
1972-10-31,ACID Dam to Highway 44 Bridge,Fall,30
1972-10-31,Highway 44 Bridge to Airport Road Bridge,Fall,54
1972-10-31,Airport Road Bridge to Balls Ferry Bridge,Fall,72
1972-10-31,Balls Ferry Bridge to Battle Creek,Fall,30
1972-10-31,Battle Creek to Jellys Ferry Bridge,Fall,44
1972-10-31,Jellys Ferry Bridge to Bend Bridge,Fall,33
1972-10-31,Bend Bridge to Red Bluff Diversion Dam,Fall,87
1972-10-31,Red Bluff Diversion Dam to Tehama Bridge,Fall,151
1972-10-31,Tehama Bridge To Woodson Bridge,Fall,50
1972-10-31,Woodson Bridge to Hamilton City Bridge,Fall,NA
1972-10-31,Hamilton City Bridge to Ord Ferry Bridge,Fall,NA
1972-10-31,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1972-12-08,Keswick to ACID Dam,Late-Fall,48
1972-12-08,ACID Dam to Highway 44 Bridge,Late-Fall,0
1972-12-08,Highway 44 Bridge to Airport Road Bridge,Late-Fall,53
1972-12-08,Airport Road Bridge to Balls Ferry Bridge,Late-Fall,35
1972-12-08,Balls Ferry Bridge to Battle Creek,Late-Fall,3
1972-12-08,Battle Creek to Jellys Ferry Bridge,Late-Fall,0
1972-12-08,Jellys Ferry Bridge to Bend Bridge,Late-Fall,39
1972-12-08,Bend Bridge to Red Bluff Diversion Dam,Late-Fall,27
1972-12-08,Red Bluff Diversion Dam to Tehama Bridge,Late-Fall,53
1972-12-08,Tehama Bridge To Woodson Bridge,Late-Fall,12
1972-12-08,Woodson Bridge to Hamilton City Bridge,Late-Fall,NA
1972-12-08,Hamilton City Bridge to Ord Ferry Bridge,Late-Fall,NA
1972-12-08,Ord Ferry Bridge To Princeton Ferry,Late-Fall,NA
1973-10-25,Keswick to ACID Dam,Fall,0
1973-10-25,ACID Dam to Highway 44 Bridge,Fall,26
