location_id,datetime,parameter_id,parameter_value
bnd,2010-01-01,20,4291.2
bnd,2010-01-02,20,6687.1
bnd,2010-01-03,20,5196.2
bnd,2010-01-04,20,4536.2
bnd,2010-01-05,20,4265.8
bnd,2010-01-06,20,4093.8
bnd,2010-01-07,20,4008.3
bnd,2010-01-08,20,3961.2
bnd,2010-01-09,20,3945.4
bnd,2010-01-10,20,3917.1
bnd,2010-01-11,20,3882.5
bnd,2010-01-12,20,4539.6
bnd,2010-01-13,20,12606.2
bnd,2010-01-14,20,9000
bnd,2010-01-15,20,5969.6
bnd,2010-01-16,20,5215
bnd,2010-01-17,20,5002.1
bnd,2010-01-18,20,9818.3
bnd,2010-01-19,20,21900
bnd,2010-01-20,20,27520.8
bnd,2010-01-21,20,36925
bnd,2010-01-22,20,17591.7
bnd,2010-01-23,20,13979.2
bnd,2010-01-24,20,17304.2
bnd,2010-01-25,20,24841.7
bnd,2010-01-26,20,39591.7
bnd,2010-01-27,20,16866.7
bnd,2010-01-28,20,11295.8
bnd,2010-01-29,20,9115
bnd,2010-01-30,20,8342.5
bnd,2010-01-31,20,11017.5
bnd,2010-02-01,20,8122.9
bnd,2010-02-02,20,9186.7
bnd,2010-02-03,20,8007.5
bnd,2010-02-04,20,7354.2
bnd,2010-02-05,20,20344.6
bnd,2010-02-06,20,20787.5
bnd,2010-02-07,20,18708.3
bnd,2010-02-08,20,12220.8
bnd,2010-02-09,20,11445.8
bnd,2010-02-10,20,10662.9
bnd,2010-02-11,20,8967.9
bnd,2010-02-12,20,8955
bnd,2010-02-13,20,9118.3
bnd,2010-02-14,20,8355.4
bnd,2010-02-15,20,7721.7
bnd,2010-02-16,20,7355.8
bnd,2010-02-17,20,7082.1
bnd,2010-02-18,20,6858.3
bnd,2010-02-19,20,6614.6
bnd,2010-02-20,20,6365.8
bnd,2010-02-21,20,7374.6
bnd,2010-02-22,20,6779.6
bnd,2010-02-23,20,6021.2
bnd,2010-02-24,20,14657.5
bnd,2010-02-25,20,12465.8
bnd,2010-02-26,20,8878.8
bnd,2010-02-27,20,18075
bnd,2010-02-28,20,12445.8
bnd,2010-03-01,20,9838.8
bnd,2010-03-02,20,8536.2
bnd,2010-03-03,20,11525.4
bnd,2010-03-04,20,15537.5
bnd,2010-03-05,20,10155.4
bnd,2010-03-06,20,8713.3
bnd,2010-03-07,20,7945
bnd,2010-03-08,20,7456.2
bnd,2010-03-09,20,7313.3
bnd,2010-03-10,20,7119.2
bnd,2010-03-11,20,6865.8
bnd,2010-03-12,20,6447.9
bnd,2010-03-13,20,8952.9
bnd,2010-03-14,20,7621.2
bnd,2010-03-15,20,6844.2
bnd,2010-03-16,20,6555.8
bnd,2010-03-17,20,6329.6
bnd,2010-03-18,20,6312.1
bnd,2010-03-19,20,6178.8
bnd,2010-03-20,20,6033.8
bnd,2010-03-21,20,5974.2
bnd,2010-03-22,20,5953.3
bnd,2010-03-23,20,5840.8
bnd,2010-03-24,20,5746.7
bnd,2010-03-25,20,5749.6
bnd,2010-03-26,20,5901.2
bnd,2010-03-27,20,5690
bnd,2010-03-28,20,5527.5
bnd,2010-03-29,20,5457.1
bnd,2010-03-30,20,5996.7
bnd,2010-03-31,20,6252.9
bnd,2010-04-01,20,5912.9
bnd,2010-04-02,20,5655
bnd,2010-04-03,20,7238.3
bnd,2010-04-04,20,6275.8
bnd,2010-04-05,20,7520.4
bnd,2010-04-06,20,6832.5
bnd,2010-04-07,20,6135.8
bnd,2010-04-08,20,5964.2
bnd,2010-04-09,20,5912.9
bnd,2010-04-10,20,5892.5
bnd,2010-04-11,20,5860.4
bnd,2010-04-12,20,9924.2
bnd,2010-04-13,20,17045.8
bnd,2010-04-14,20,11829.2
bnd,2010-04-15,20,10615.4
bnd,2010-04-16,20,9956.2
bnd,2010-04-17,20,9414.2
bnd,2010-04-18,20,8806.7
bnd,2010-04-19,20,8782.5
bnd,2010-04-20,20,9351.2
bnd,2010-04-21,20,13866.7
bnd,2010-04-22,20,11183.3
bnd,2010-04-23,20,9967.1
bnd,2010-04-24,20,9455
bnd,2010-04-25,20,9800.8
bnd,2010-04-26,20,9615.8
bnd,2010-04-27,20,9764.2
bnd,2010-04-28,20,12020.8
bnd,2010-04-29,20,11379.2
bnd,2010-04-30,20,10441.7
bnd,2010-05-01,20,10068.3
bnd,2010-05-02,20,10366.7
bnd,2010-05-03,20,10204.2
bnd,2010-05-04,20,10123.3
bnd,2010-05-05,20,10220.8
bnd,2010-05-06,20,9962.5
bnd,2010-05-07,20,9802.9
bnd,2010-05-08,20,9686.7
bnd,2010-05-09,20,9647.5
bnd,2010-05-10,20,9770.4
bnd,2010-05-11,20,10491.7
bnd,2010-05-12,20,9902.5
bnd,2010-05-13,20,9542.5
bnd,2010-05-14,20,9624.2
bnd,2010-05-15,20,10207.9
bnd,2010-05-16,20,10362.5
bnd,2010-05-17,20,10358.3
bnd,2010-05-18,20,10545.8
bnd,2010-05-19,20,10604.2
bnd,2010-05-20,20,10737.5
bnd,2010-05-21,20,10662.5
bnd,2010-05-22,20,10779.2
bnd,2010-05-23,20,10691.7
bnd,2010-05-24,20,10383.3
bnd,2010-05-25,20,10779.2
bnd,2010-05-26,20,12408.3
bnd,2010-05-27,20,13183.3
bnd,2010-05-28,20,14412.5
bnd,2010-05-29,20,16325
bnd,2010-05-30,20,16975
bnd,2010-05-31,20,17279.2
bnd,2010-06-01,20,15308.3
bnd,2010-06-02,20,14237.5
bnd,2010-06-03,20,17479.2
bnd,2010-06-04,20,17787.5
bnd,2010-06-05,20,17987.5
bnd,2010-06-06,20,17816.7
bnd,2010-06-07,20,17637.5
bnd,2010-06-08,20,17204.2
bnd,2010-06-09,20,15137.5
bnd,2010-06-10,20,13829.2
bnd,2010-06-11,20,12929.2
bnd,2010-06-12,20,12380.6
bnd,2010-06-13,20,12770.8
bnd,2010-06-14,20,12579.2
bnd,2010-06-15,20,13400
bnd,2010-06-16,20,12429.2
bnd,2010-06-17,20,12362.5
bnd,2010-06-18,20,12420.8
bnd,2010-06-19,20,12233.3
bnd,2010-06-20,20,12366.7
bnd,2010-06-21,20,12254.2
bnd,2010-06-22,20,12237.5
bnd,2010-06-23,20,12133.3
bnd,2010-06-24,20,12112.5
bnd,2010-06-25,20,12083.3
bnd,2010-06-26,20,12133.3
bnd,2010-06-27,20,12237.5
bnd,2010-06-28,20,12800
bnd,2010-06-29,20,13179.2
bnd,2010-06-30,20,12904.2
bnd,2010-07-01,20,12941.7
bnd,2010-07-02,20,12925
bnd,2010-07-03,20,12679.2
bnd,2010-07-04,20,12862.5
bnd,2010-07-05,20,12804.2
bnd,2010-07-06,20,12662.5
bnd,2010-07-07,20,12458.3
bnd,2010-07-08,20,13045.8
bnd,2010-07-09,20,13312.5
bnd,2010-07-10,20,13358.3
bnd,2010-07-11,20,13491.7
bnd,2010-07-12,20,13183.3
bnd,2010-07-13,20,13245.8
bnd,2010-07-14,20,13225
bnd,2010-07-15,20,13041.7
bnd,2010-07-16,20,13033.3
bnd,2010-07-17,20,13087.5
bnd,2010-07-18,20,13183.3
bnd,2010-07-19,20,13300
bnd,2010-07-20,20,13095.8
bnd,2010-07-21,20,13070.8
bnd,2010-07-22,20,13008.3
bnd,2010-07-23,20,13070.8
bnd,2010-07-24,20,13104.2
bnd,2010-07-25,20,12862.5
bnd,2010-07-26,20,12862.5
bnd,2010-07-27,20,12841.7
bnd,2010-07-28,20,12850
bnd,2010-07-29,20,12875
bnd,2010-07-30,20,13154.2
bnd,2010-07-31,20,12820.8
bnd,2010-08-01,20,12804.2
bnd,2010-08-02,20,13066.7
bnd,2010-08-03,20,12854.2
bnd,2010-08-04,20,13016.7
bnd,2010-08-05,20,12633.3
bnd,2010-08-06,20,12541.7
bnd,2010-08-07,20,12187.5
bnd,2010-08-08,20,11854.2
bnd,2010-08-09,20,11550
bnd,2010-08-10,20,11604.2
bnd,2010-08-11,20,11345.8
bnd,2010-08-12,20,11050
bnd,2010-08-13,20,10854.2
bnd,2010-08-14,20,10633.3
bnd,2010-08-15,20,10450
bnd,2010-08-16,20,10329.2
bnd,2010-08-17,20,10533.3
bnd,2010-08-18,20,10312.5
bnd,2010-08-19,20,10205.4
bnd,2010-08-20,20,9746.7
bnd,2010-08-21,20,9684.2
bnd,2010-08-22,20,9631.2
bnd,2010-08-23,20,9586.7
bnd,2010-08-24,20,9625.4
bnd,2010-08-25,20,9520
bnd,2010-08-26,20,9556.7
bnd,2010-08-27,20,9369.2
bnd,2010-08-28,20,9135.8
bnd,2010-08-29,20,9068.3
bnd,2010-08-30,20,9177.5
bnd,2010-08-31,20,9032.5
bnd,2010-09-01,20,8984.2
bnd,2010-09-02,20,9025.8
bnd,2010-09-03,20,8943.8
bnd,2010-09-04,20,9087.9
bnd,2010-09-05,20,8871.7
bnd,2010-09-06,20,8618.3
bnd,2010-09-07,20,8530.4
bnd,2010-09-08,20,8572.5
bnd,2010-09-09,20,8887.5
bnd,2010-09-10,20,8716.2
bnd,2010-09-11,20,8782.1
bnd,2010-09-12,20,8678.8
bnd,2010-09-13,20,8333.8
bnd,2010-09-14,20,8145.8
bnd,2010-09-15,20,8065.8
bnd,2010-09-16,20,8056.7
bnd,2010-09-17,20,7800
bnd,2010-09-18,20,7712.1
bnd,2010-09-19,20,7549.2
bnd,2010-09-20,20,7415.8
bnd,2010-09-21,20,7425.4
bnd,2010-09-22,20,7454.2
bnd,2010-09-23,20,7379.2
bnd,2010-09-24,20,7436.7
bnd,2010-09-25,20,7295
bnd,2010-09-26,20,7390.4
bnd,2010-09-27,20,7261.7
bnd,2010-09-28,20,7287.9
bnd,2010-09-29,20,7297.9
