draft_date,actual_upstream,actual_downstream
1/1/2010,833,18
1/2/2010,809,18
1/3/2010,805,18
1/4/2010,804,18
1/5/2010,808,9
1/6/2010,804,0
1/7/2010,812,0
1/8/2010,813,0
1/9/2010,810,0
1/10/2010,823,0
1/11/2010,814,0
1/12/2010,808,0
1/13/2010,816,0
1/14/2010,708,0
1/15/2010,600,0
1/16/2010,380,0
1/17/2010,50,0
1/18/2010,13,0
1/19/2010,17,0
1/20/2010,0,0
1/21/2010,0,5
1/22/2010,0,9
1/23/2010,0,9
1/24/2010,0,9
1/25/2010,0,9
1/26/2010,0,9
1/27/2010,0,10
1/28/2010,0,10
1/29/2010,0,6
1/30/2010,0,0
1/31/2010,0,0
2/1/2010,0,0
2/2/2010,0,0
2/3/2010,0,0
2/4/2010,0,0
2/5/2010,0,0
2/6/2010,0,0
2/7/2010,0,0
2/8/2010,0,0
2/9/2010,0,0
2/10/2010,0,0
2/11/2010,0,0
2/12/2010,0,0
2/13/2010,0,0
2/14/2010,0,0
2/15/2010,0,0
2/16/2010,0,0
2/17/2010,0,0
2/18/2010,0,0
2/19/2010,0,0
2/20/2010,0,0
2/21/2010,0,0
2/22/2010,0,0
2/23/2010,0,0
2/24/2010,0,0
2/25/2010,0,0
2/26/2010,0,0
2/27/2010,0,0
2/28/2010,0,0
3/1/2010,151,0
3/2/2010,50,0
3/3/2010,50,0
3/4/2010,50,0
3/5/2010,25,0
3/6/2010,0,0
3/7/2010,0,0
3/8/2010,0,0
3/9/2010,101,0
3/10/2010,0,0
3/11/2010,51,0
3/12/2010,65,1
3/13/2010,34,1
3/14/2010,51,1
3/15/2010,38,1
3/16/2010,78,1
3/17/2010,77,1
3/18/2010,78,1
3/19/2010,148,1
3/20/2010,166,1
3/21/2010,169,1
3/22/2010,191,1
3/23/2010,226,1
3/24/2010,253,1
3/25/2010,250,1
3/26/2010,256,1
3/27/2010,257,1
3/28/2010,259,2
3/29/2010,114,2
3/30/2010,34,2
3/31/2010,67,2
4/1/2010,344,11
4/2/2010,267,8
4/3/2010,239,8
4/4/2010,195,2
4/5/2010,148,2
4/6/2010,143,2
4/7/2010,179,2
4/8/2010,234,2
4/9/2010,259,2
4/10/2010,245,2
4/11/2010,250,2
4/12/2010,381,3
4/13/2010,297,3
4/14/2010,357,3
4/15/2010,348,3
4/16/2010,374,3
4/17/2010,351,3
4/18/2010,261,3
4/19/2010,286,3
4/20/2010,230,3
4/21/2010,342,3
4/22/2010,419,3
4/23/2010,438,3
4/24/2010,461,3
4/25/2010,664,3
4/26/2010,1089,3
4/27/2010,1416,43
4/28/2010,1542,51
4/29/2010,1696,62
4/30/2010,1888,83
5/1/2010,2109,95
5/2/2010,2293,122
5/3/2010,2640,120
5/4/2010,2964,164
5/5/2010,3169,168
5/6/2010,3407,177
5/7/2010,3593,141
5/8/2010,3768,147
5/9/2010,4072,171
5/10/2010,4069,175
5/11/2010,3913,173
5/12/2010,3817,154
5/13/2010,3808,195
5/14/2010,3995,282
5/15/2010,3972,304
5/16/2010,4074,304
5/17/2010,4119,265
5/18/2010,3766,199
5/19/2010,3794,246
5/20/2010,3686,383
5/21/2010,3699,292
5/22/2010,3959,287
5/23/2010,3679,273
5/24/2010,3559,263
5/25/2010,3514,322
5/26/2010,3344,377
5/27/2010,3024,356
5/28/2010,2711,236
5/29/2010,2681,167
5/30/2010,2364,177
5/31/2010,2475,317
6/1/2010,2489,219
6/2/2010,2682,275
6/3/2010,2783,259
6/4/2010,2942,241
6/5/2010,2918,271
6/6/2010,3100,248
6/7/2010,3098,267
6/8/2010,3280,260
6/9/2010,3555,212
6/10/2010,3596,330
6/11/2010,3645,286
6/12/2010,3642,304
6/13/2010,3611,338
6/14/2010,3766,327
6/15/2010,3983,501
6/16/2010,4271,454
6/17/2010,4258,547
6/18/2010,4337,463
6/19/2010,4231,414
6/20/2010,4110,431
6/21/2010,3924,289
6/22/2010,3789,297
6/23/2010,3738,318
6/24/2010,3818,348
6/25/2010,3957,468
6/26/2010,4046,369
6/27/2010,3994,322
6/28/2010,4055,357
6/29/2010,4200,381
6/30/2010,4355,396
7/1/2010,4257,410
7/2/2010,4308,443
7/3/2010,4300,369
7/4/2010,4257,347
7/5/2010,4312,344
7/6/2010,4317,439
7/7/2010,4359,438
7/8/2010,4484,426
7/9/2010,4452,379
7/10/2010,4469,516
7/11/2010,4405,554
7/12/2010,4452,533
7/13/2010,4430,647
7/14/2010,4299,545
7/15/2010,4242,577
7/16/2010,4100,556
7/17/2010,4141,628
7/18/2010,4325,511
7/19/2010,4134,566
7/20/2010,4121,521
7/21/2010,4179,551
7/22/2010,4194,518
7/23/2010,4137,499
7/24/2010,4130,505
7/25/2010,4074,485
7/26/2010,3876,472
7/27/2010,3857,305
7/28/2010,3972,279
7/29/2010,4009,505
7/30/2010,3923,416
7/31/2010,3916,382
8/1/2010,3894,328
8/2/2010,3919,339
8/3/2010,3917,405
8/4/2010,3925,369
8/5/2010,3929,362
8/6/2010,3903,353
8/7/2010,3835,329
8/8/2010,3743,316
8/9/2010,3687,376
8/10/2010,3699,393
8/11/2010,3723,353
8/12/2010,3721,369
8/13/2010,3613,274
8/14/2010,3649,327
8/15/2010,3552,292
8/16/2010,3611,239
8/17/2010,3608,271
8/18/2010,3614,375
8/19/2010,3558,231
8/20/2010,3565,273
8/21/2010,3573,240
8/22/2010,3519,231
8/23/2010,3457,225
8/24/2010,3505,242
8/25/2010,3440,231
8/26/2010,3163,244
8/27/2010,3298,252
8/28/2010,3313,241
8/29/2010,3082,222
8/30/2010,2719,219
8/31/2010,2718,168
9/1/2010,2675,162
9/2/2010,2535,166
9/3/2010,2429,144
9/4/2010,2595,136
9/5/2010,2297,117
9/6/2010,2151,113
9/7/2010,2126,108
9/8/2010,1773,102
9/9/2010,1987,101
9/10/2010,2007,101
9/11/2010,1583,82
9/12/2010,1435,64
9/13/2010,1360,68
9/14/2010,1223,52
9/15/2010,1209,48
9/16/2010,1200,50
9/17/2010,1149,52
9/18/2010,987,59
9/19/2010,930,52
9/20/2010,877,42
9/21/2010,792,43
9/22/2010,776,35
9/23/2010,757,31
9/24/2010,731,42
9/25/2010,737,42
9/26/2010,710,26
9/27/2010,734,18
9/28/2010,694,16
9/29/2010,693,16
9/30/2010,707,15
10/1/2010,912,10
10/2/2010,821,9
10/3/2010,796,9
10/4/2010,778,9
10/5/2010,798,9
10/6/2010,789,9
10/7/2010,792,5
10/8/2010,781,3
10/9/2010,784,0
