datetime,location_id,parameter_id,parameter_value
2010-01-01,sha,15,1798607
2010-01-02,sha,15,1816097
2010-01-03,sha,15,1827382
2010-01-04,sha,15,1834028
2010-01-05,sha,15,1841164
2010-01-06,sha,15,1846532
2010-01-07,sha,15,1851756
2010-01-08,sha,15,1857796
2010-01-09,sha,15,1862706
2010-01-10,sha,15,1866648
2010-01-11,sha,15,1870426
2010-01-12,sha,15,1887899
2010-01-13,sha,15,1923020
2010-01-14,sha,15,1943359
2010-01-15,sha,15,1959103
2010-01-16,sha,15,1977659
2010-01-17,sha,15,1999279
2010-01-18,sha,15,2056255
2010-01-19,sha,15,2143599
2010-01-20,sha,15,2224069
2010-01-21,sha,15,2295493
2010-01-22,sha,15,2339705
2010-01-23,sha,15,2376007
2010-01-24,sha,15,2413097
2010-01-25,sha,15,2453087
2010-01-26,sha,15,2487564
2010-01-27,sha,15,2515733
2010-01-28,sha,15,2536870
2010-01-29,sha,15,2555773
2010-01-30,sha,15,2576425
2010-01-31,sha,15,2596882
2010-02-01,sha,15,2618690
2010-02-02,sha,15,2636058
2010-02-03,sha,15,2655594
2010-02-04,sha,15,2684669
2010-02-05,sha,15,2748376
2010-02-06,sha,15,2813563
2010-02-07,sha,15,2859756
2010-02-08,sha,15,2894270
2010-02-09,sha,15,2923979
2010-02-10,sha,15,2949189
2010-02-11,sha,15,2976123
2010-02-12,sha,15,3002996
2010-02-13,sha,15,3034152
2010-02-14,sha,15,3062777
2010-02-15,sha,15,3087887
2010-02-16,sha,15,3110352
2010-02-17,sha,15,3133631
2010-02-18,sha,15,3156093
2010-02-19,sha,15,3176073
2010-02-20,sha,15,3195666
2010-02-21,sha,15,3212964
2010-02-22,sha,15,3225817
2010-02-23,sha,15,3241554
2010-02-24,sha,15,3257834
2010-02-25,sha,15,3273933
2010-02-26,sha,15,3309822
2010-02-27,sha,15,3350588
2010-02-28,sha,15,3380147
2010-03-01,sha,15,3400785
2010-03-02,sha,15,3428675
2010-03-03,sha,15,3468195
2010-03-04,sha,15,3497977
2010-03-05,sha,15,3525410
2010-03-06,sha,15,3547162
2010-03-07,sha,15,3567731
2010-03-08,sha,15,3587098
2010-03-09,sha,15,3603477
2010-03-10,sha,15,3618877
2010-03-11,sha,15,3631481
2010-03-12,sha,15,3650070
2010-03-13,sha,15,3665598
2010-03-14,sha,15,3676506
2010-03-15,sha,15,3687155
2010-03-16,sha,15,3697334
2010-03-17,sha,15,3715353
2010-03-18,sha,15,3725319
2010-03-19,sha,15,3736859
2010-03-20,sha,15,3746333
2010-03-21,sha,15,3755821
2010-03-22,sha,15,3762937
2010-03-23,sha,15,3771928
2010-03-24,sha,15,3782524
2010-03-25,sha,15,3792060
2010-03-26,sha,15,3801325
2010-03-27,sha,15,3809796
2010-03-28,sha,15,3817737
2010-03-29,sha,15,3832095
2010-03-30,sha,15,3851008
2010-03-31,sha,15,3868648
2010-04-01,sha,15,3883133
2010-04-02,sha,15,3900597
2010-04-03,sha,15,3914629
2010-04-04,sha,15,3933011
2010-04-05,sha,15,3949009
2010-04-06,sha,15,3960159
2010-04-07,sha,15,3974055
2010-04-08,sha,15,3987438
2010-04-09,sha,15,4000578
2010-04-10,sha,15,4013470
2010-04-11,sha,15,4031897
2010-04-12,sha,15,4066440
2010-04-13,sha,15,4097291
2010-04-14,sha,15,4128863
2010-04-15,sha,15,4157221
2010-04-16,sha,15,4179205
2010-04-17,sha,15,4202122
2010-04-18,sha,15,4223154
2010-04-19,sha,15,4242819
2010-04-20,sha,15,4267986
2010-04-21,sha,15,4281760
2010-04-22,sha,15,4292393
2010-04-23,sha,15,4301905
2010-04-24,sha,15,4308247
2010-04-25,sha,15,4315741
2010-04-26,sha,15,4323840
2010-04-27,sha,15,4345559
2010-04-28,sha,15,4363213
2010-04-29,sha,15,4378856
2010-04-30,sha,15,4390774
2010-05-01,sha,15,4395716
2010-05-02,sha,15,4404437
2010-05-03,sha,15,4411153
2010-05-04,sha,15,4418454
2010-05-05,sha,15,4426340
2010-05-06,sha,15,4431013
2010-05-07,sha,15,4434226
2010-05-08,sha,15,4438334
2010-05-09,sha,15,4442441
2010-05-10,sha,15,4451535
2010-05-11,sha,15,4459163
2010-05-12,sha,15,4465038
2010-05-13,sha,15,4470933
2010-05-14,sha,15,4476238
2010-05-15,sha,15,4480953
2010-05-16,sha,15,4483016
2010-05-17,sha,15,4483016
2010-05-18,sha,15,4494814
2010-05-19,sha,15,4498367
2010-05-20,sha,15,4502808
2010-05-21,sha,15,4505768
2010-05-22,sha,15,4507248
2010-05-23,sha,15,4504584
2010-05-24,sha,15,4504584
2010-05-25,sha,15,4506952
2010-05-26,sha,15,4506360
2010-05-27,sha,15,4506952
2010-05-28,sha,15,4502808
2010-05-29,sha,15,4491268
2010-05-30,sha,15,4477122
2010-05-31,sha,15,4464744
2010-06-01,sha,15,4460923
2010-06-02,sha,15,4451535
2010-06-03,sha,15,4440681
2010-06-04,sha,15,4433933
2010-06-05,sha,15,4431889
2010-06-06,sha,15,4428384
2010-06-07,sha,15,4422543
2010-06-08,sha,15,4418162
2010-06-09,sha,15,4417578
2010-06-10,sha,15,4415534
2010-06-11,sha,15,4413197
2010-06-12,sha,15,4409109
2010-06-13,sha,15,4405312
2010-06-14,sha,15,4400077
2010-06-15,sha,15,4394844
2010-06-16,sha,15,4391356
2010-06-17,sha,15,4384379
2010-06-18,sha,15,4377984
2010-06-19,sha,15,4371317
2010-06-20,sha,15,4363213
2010-06-21,sha,15,4357136
2010-06-22,sha,15,4350479
2010-06-23,sha,15,4342663
