datetime,dist_meters,location_id,location_name,sim_start_time,scenario_name,model_type,temp_50
2019-02-01,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,50.271027
2019-02-02,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.85882
2019-02-03,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.753387
2019-02-04,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.518578
2019-02-05,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.187675
2019-02-06,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,48.62189
2019-02-07,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.601704
2019-02-08,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.574314
2019-02-09,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,46.5855
2019-02-10,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.616882
2019-02-11,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.451477
2019-02-12,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.385002
2019-02-13,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,45.0166
2019-02-14,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,44.818737
2019-02-15,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,46.512825
2019-02-16,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.34514
2019-02-17,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.258217
2019-02-18,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.52797
2019-02-19,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.358746
2019-02-20,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.7491
2019-02-21,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.74594
2019-02-22,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.445984
2019-02-23,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.492554
2019-02-24,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,46.987247000000004
2019-02-25,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,46.64561
2019-02-26,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.225964
2019-02-27,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.91491
2019-02-28,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,48.04205
2019-03-01,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.784164
2019-03-02,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.602173
2019-03-03,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.936947
2019-03-04,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.899704
2019-03-05,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.76076
2019-03-06,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,48.130825
2019-03-07,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.894848
2019-03-08,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.972828
2019-03-09,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.441936
2019-03-10,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.90331
2019-03-11,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,48.18939
2019-03-12,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,48.345245
2019-03-13,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,48.326233
2019-03-14,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,48.35313
2019-03-15,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,48.656742
2019-03-16,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,48.82984
2019-03-17,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,48.923172
2019-03-18,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.112064
2019-03-19,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.084618
2019-03-20,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,48.70559
2019-03-21,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.1617
2019-03-22,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,48.654217
2019-03-23,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.301495
2019-03-24,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.642406
2019-03-25,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,48.79181
2019-03-26,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.25138
2019-03-27,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.392464
2019-03-28,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.246002
2019-03-29,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.875603
2019-03-30,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.97279
2019-03-31,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,50.187935
2019-04-01,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.975567
2019-04-02,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.702198
2019-04-03,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.315617
2019-04-04,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.116577
2019-04-05,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,48.425438
2019-04-06,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,48.27481
2019-04-07,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,48.582817
2019-04-08,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,48.702106
2019-04-09,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.124355
2019-04-10,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.531605
2019-04-11,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.517303
2019-04-12,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.679344
2019-04-13,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,50.063557
2019-04-14,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.734818
2019-04-15,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.245834
2019-04-16,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,50.144234
2019-04-17,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,51.074722
2019-04-18,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,52.21175
2019-04-19,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,52.605495
2019-04-20,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,52.622814
2019-04-21,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,52.505898
2019-04-22,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,53.56373
2019-04-23,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.403793
2019-04-24,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.11301
2019-04-25,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.31576
2019-04-26,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.275925
2019-04-27,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.001106
2019-04-28,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.991375
2019-04-29,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.08686
2019-04-30,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.046898
2019-05-01,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.956932
2019-05-02,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.739567
2019-05-03,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.220318
2019-05-04,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.821198
2019-05-05,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.52864
2019-05-06,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.529533
2019-05-07,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.703304
2019-05-08,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.941586
2019-05-09,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.732574
2019-05-10,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.175037
2019-05-11,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,53.896385
2019-05-12,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,53.905045
2019-05-13,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,53.56337
2019-05-14,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,53.001953
2019-05-15,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,51.77403
2019-05-16,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,51.589333
2019-05-17,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,52.289257
2019-05-18,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,51.68508
2019-05-19,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,53.297844
2019-05-20,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,53.03851
2019-05-21,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,53.315525
2019-05-22,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.08186
2019-05-23,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.186684
2019-05-24,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.18659
2019-05-25,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,53.97597
2019-05-26,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,53.92966
2019-05-27,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.16151
2019-05-28,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.31657
2019-05-29,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.340027
2019-05-30,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.382317
2019-05-31,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.406788
2019-06-01,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.296562
2019-06-02,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.016144
2019-06-03,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.615826
2019-06-04,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.38103
2019-06-05,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.443478
2019-06-06,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.62133
2019-06-07,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.5292
2019-06-08,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.140728
2019-06-09,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,53.7194
2019-06-10,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,53.34603
2019-06-11,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,53.40606
2019-06-12,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,53.80462
2019-06-13,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.400066
2019-06-14,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.70365
2019-06-15,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.73952
2019-06-16,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.68532
2019-06-17,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.46365
2019-06-18,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.637745
2019-06-19,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.026558
2019-06-20,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.161808
2019-06-21,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.84476
2019-06-22,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.54521
2019-06-23,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.3716
2019-06-24,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.482555
2019-06-25,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.48548
2019-06-26,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.415802
2019-06-27,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.575573
2019-06-28,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.684387
2019-06-29,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.888657
2019-06-30,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.95119
2019-07-01,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.894836
2019-07-02,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.693962
2019-07-03,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.53414
2019-07-04,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.407856
2019-07-05,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.674873
2019-07-06,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.61911
2019-07-07,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.890343
2019-07-08,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.598904
2019-07-09,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.571953
2019-07-10,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.746872
2019-07-11,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.703217
2019-07-12,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.815277
2019-07-13,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.567158
2019-07-14,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.445118
2019-07-15,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.606865
2019-07-16,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.491604
2019-07-17,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.595474
2019-07-18,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.70498
2019-07-19,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.749794
2019-07-20,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.059513
2019-07-21,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.047302
2019-07-22,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.061512
2019-07-23,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.08263
2019-07-24,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.98986
2019-07-25,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.92519
2019-07-26,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.05775
2019-07-27,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.882805
2019-07-28,44569,and,airportroad,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.98689
